,Latitude,Longitude,Mosquito_collection_year_end,IR_Test_.mortality,AFR_PPP_2015_adj_v2,X2015_-1ture_Africa_ITN.2015,X2015_-1ture_Africa_PfPR.2015,layer,cells,AFR_PPP_2015_adj_v2.1,X2015_-1ture_Africa_ITN.2015.1,X2015_-1ture_Africa_PfPR.2015.1,layer.1
207,-16.6463,32.2656,2016,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
887,-16.6463,32.2656,2015,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1554,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1555,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1556,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1562,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1563,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
1564,-16.6463,32.2656,2014,100,802.3439941,0.675841788,0.032994237,1,2186507,802.3439878,0.675841788,0.032994237,1
181,-16.85,36.98333,2016,40,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
183,-16.85,36.98333,2016,51,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
664,-16.85,36.98333,2015,92,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
674,-16.85,36.98333,2015,74,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
1351,-16.85,36.98333,2014,100,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
1352,-16.85,36.98333,2014,100,16243.18652,0.756655395,0.41304636,5,2195025,16243.18621,0.756655395,0.41304636,5
2637,-17.03333,29.88333,2013,93.8,411.2981567,0.403122481,0.024931261,1,2201579,411.2981445,0.403122481,0.024931261,1
2638,-17.03333,29.88333,2013,90,411.2981567,0.403122481,0.024931261,1,2201579,411.2981445,0.403122481,0.024931261,1
1349,-17.18161,37.46814,2014,100,449.877533,0.735681818,0.574572206,6,2208485,449.877523,0.735681818,0.574572206,6
