Latitude,Longitude,Mosquito_collection_year_end,IR_Test_%mortality
5.225936,-3.753666,2015,2.5
6.549058,-7.497654,2015,1
9.466934,-5.614256,2015,31.1
7.483097,-3.250907,2015,40.2
7.406431,-7.557051,2015,93.6
7.6905,-5.03917,2015,51.1
8.278208,-4.893655,2015,93
9.518875,-7.557223,2015,5.1
9.968435,-5.14842,2015,53.4
5.277253,-3.885896,2015,50
4.757882,-6.64236,2015,73
7.960178,-6.674504,2015,5.9
6.623337,-5.914557,2015,0
6.233777,-5.139409,2015,96.9
7.800568,-3.162908,2015,66.3
7.34569,-3.20307,2015,9.2
10.48196,-6.41306,2015,21.8
5.904327,-4.826165,2015,24
6.366667,-5.2,2015,54.4
8.284168,-7.681942,2015,1.9
7.375083,-6.477013,2015,11.1
6.827914,-5.289975,2015,73.7
7.764659,-5.097066,2015,68.9
6.715698,-3.480135,2015,97
6.10715,-3.855348,2015,90.6
5.935496,-4.223084,2015,62.9
7.130231,-3.203118,2015,74.3
9.133008,-7.610057,2015,0.9
7.744277,-7.616844,2015,28.9
6.566664,-8,2015,6
8.047883,-2.807864,2015,50.9
8.73033,-7.492568,2015,16.5
6.982747,-5.740517,2015,54.3
6.888356,-6.439657,2015,43.1
5.841721,-5.362738,2015,64.6
6.747242,-7.362155,2015,12.4
6.151632,-5.951988,2015,33.7
5.225936,-3.753666,2015,37.1
6.549058,-7.497654,2015,5.9
9.3,-5.666667,2015,100
9.466934,-5.614256,2015,98.1
7.406431,-7.557051,2015,73.9
8.059909,-6.189837,2015,39.7
7.6905,-5.03917,2015,75.8
8.278208,-4.893655,2015,85
9.518875,-7.557223,2015,8.5
9.968435,-5.14842,2015,59.5
5.277253,-3.885896,2015,54.4
4.757882,-6.64236,2015,78.7
7.960178,-6.674504,2015,29.6
5.664605,-4.577923,2015,51.9
6.623337,-5.914557,2015,7.9
6.233777,-5.139409,2015,89.7
7.800568,-3.162908,2015,69.6
7.34569,-3.20307,2015,35.3
10.48196,-6.41306,2015,41.3
5.904327,-4.826165,2015,31.9
6.366667,-5.2,2015,91.6
8.284168,-7.681942,2015,62.3
7.375083,-6.477013,2015,7.1
6.827914,-5.289975,2015,23.5
7.764659,-5.097066,2015,11.9
6.715698,-3.480135,2015,82.9
7.130231,-3.203118,2015,20.4
7.744277,-7.616844,2015,9.9
8.047883,-2.807864,2015,9.6
8.73033,-7.492568,2015,9.9
